"title","contents","link","date","key"
"<b>인천</b>시, <b>서구</b> 수도권<b>매립지</b>에 드론인증센터 세워 드론산업 육성","  인천   시청은   서구    수도권  매립지    일대에 국가드론인증센터를 조성한다고 일 밝혔다  수도권  매립지   는 국토교통부 산하기관 항공안전기술원의 안전성 평가에서 적합 판정을 받아 최종 사업부지로 확정됐다    인천   시는    ","http://www.businesspost.co.kr/BP?command=article_view&num=146352","Wed, 09 Oct 2019 12:43:00 +0900","매립지"
"[코로나19]<b>인천</b>시, 아파트 단지·공공시설 점검","자연휴양림  유아숲 체험원 등 개 산림휴양시설에 대해서도 지난 일부터 운영을 중단한 상태다 아울러 월 일 시민들과 함께 푸른   인천   을 만들기 위해 수도권  매립지    캠핑장   서구    정서진로   백석동 에서 열린    ","http://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2020030215545610796","Mon, 02 Mar 2020 16:00:00 +0900","매립지"
"경기도ㆍ<b>인천</b> “수도권 공동 대체<b>매립지</b> 조성에 중앙정부가 적극 나서라”","서울   인천    경기 지역 쓰레기는 서울 난지도 매립장 사용 종료 이후 년부터   인천   시   서구    백석동에 있는 수도권  매립지   에서 함께 처리되고 있지만 년 이후에는 갈 곳이 없는 상황에 부닥쳐 있다  수도권 개 시 도는    ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=025&aid=0002939922","Wed, 25 Sep 2019 13:44:00 +0900","매립지"
"수도권쓰레기<b>매립지</b>, 총량제 시행 후 반입 되레 늘어","ㆍ월   인천      서울  나 연말 페널티 부과 처리 차질 우려   인천 서구   에 있는 수도권쓰레기  매립지   의 조기 포화를 막기 위해 올해부터 생활폐기물 총량을   줄이는 반입총량제가 시행됐지만 반입량은 오히려    ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=032&aid=0002989818","Tue, 04 Feb 2020 21:38:00 +0900","매립지"
"박남춘, <b>인천</b> 10개 시군과 자체쓰레기<b>매립지</b> 공동조성 추진","현재 서울    인천     경기도의 쓰레기를 처리하는   인천 서구    수도권  매립지   는 년 사용이 종료된다    인천   시는 수도권 개 시 도가 함께 사용할 수 있는 대체  매립지    조성사업을 놓고 논의가 이뤄지지 않아 사업 추진에 별    ","http://www.businesspost.co.kr/BP?command=article_view&num=146806","Mon, 14 Oct 2019 18:03:00 +0900","매립지"
"[티브로드]&lt;<b>인천</b>&gt; <b>서구</b> 전체가 <b>매립지</b> 영향권?… 검단 주민 '반발'","하지만   서구   가   인천   시에 신청한 내년도   매립지   특별회계 사업 목록을 보면   매립지   와 동떨어진 지역에 관한 내용이 포함돼 있습니다  가정 동 행정복지센터 신축 사업에 억 원  가정 동 행정복지센터 공사비로 억을    ","http://ch1.tbroad.com/content/view?parent_no=24&content_no=58&p_no=93796","Tue, 10 Dec 2019 18:44:00 +0900","매립지"
"[총선 D-12] <b>인천</b> 계양을 송영길-윤형선 '4년 만의 재대결'","또 년   서구    쓰레기  매립지    사용 종료에 대비해   인천   시가 각 자치구별로 쓰레기 소각장을 짓기 위해 진행 중인 용역에서 귤현 동양 박촌 등 계양구 주거 밀집지역은 제외하도록 시장에게 요구할 방침이다  계양산    ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0011519987","Fri, 03 Apr 2020 07:35:00 +0900","매립지"
"미래통합당 박종진 <b>인천</b> 서을 후보, 수도권<b>매립지</b> 관련 헌법소원…법조계 &quot;요...","미래통합당 박종진   인천    서을 후보가 수도권  매립지   가 헌법에서 보장한 환경권  평등권  행복추구권을    그는   폐촉법에  발생지 처리 원칙 을 규정하지 않아 지난 년간 천만명의 수도권 주민 쓰레기를   서구   주민이    ","http://www.kyeonggi.com/news/articleView.html?idxno=2269188","Thu, 09 Apr 2020 21:07:00 +0900","매립지"
"<b>인천 서구</b> &quot;지속 가능한 자원순환형 도시로&quot;","년   매립지    사용 종료에 대비중장기 특성화 정책 로드맵 마련인구 산업 변화 따른 폐기물 예측년까지 감량 재활용 등 대책  인천 서구   가 지역 특성에 맞는 중장기 자원순환정책 마련을 추진한다  수도권  매립지    사용    ","http://www.kyeongin.com/main/view.php?key=20200331010008450","Tue, 31 Mar 2020 21:30:00 +0900","매립지"
"[티브로드]&lt;<b>인천</b>&gt; [<b>서구</b>을 후보자 토론회] 5호선 연장·<b>매립지</b> 종료 '격돌'","  서구   을은 교통망 확충과 수도권  매립지    사용 종료 등 지역 현안이 많은 곳인데요  두 후보는 현안마다 날선 공방을 벌였습니다 이정윤 기자의 보도입니다  리포트   토론회에서 맞대결을 펼친 더불어민주당 신동근 후보와    ","http://ch1.tbroad.com/content/view?parent_no=24&content_no=58&p_no=100747","Tue, 07 Apr 2020 18:46:00 +0900","매립지"
